"Notice_ID","Notice_Type","Tender_Number","Notice_Content","Successful_Bidder","Awarded_Amount","Tendering_Entity","Tendering_Address","Tendering_Contact_Person","Tendering_Contact_Information","Tendering_Agency","Agency_Address","Agency_Contact_Person","Agency_Contact_Information"
"1"," 中标结果公告"," 招标编号： HBSJ-202306FJ-113001001"," 武汉大学早期建筑保护规划编制项目（招标项目名称）武汉大学早期建筑保护规划编制项目（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省古建筑保护中心（湖北明清古建筑博物馆）","1980000"," 武汉大学"," 武汉市武昌区珞珈山"," 陈老师"," 027-68779568"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 贾新龙、孙静静"," 027-87273623"
"2"," 中标结果公告"," 招标编号： HBSJ-202302FJ-019001001"," 严西湖生态旅游示范区启动项目31号地块设计（招标项目名称）严西湖生态旅游示范区启动项目31号地块设计（标段名称）于2023年03月25日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月25日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 上海联创设计集团股份有限公司","3745971"," 湖北佳境生态旅游发展有限公司"," 武汉市武昌区中北路86号汉街总部"," 李彦伟、袁硕"," 027-87828809"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 李晶、王杨超、马星辉"," 027-87273603"
"3"," 中标结果公告"," 招标编号： HBSJ-202310GL-132005002"," 武汉都市圈环线高速公路汉南长江大桥及接线工程长江大桥主桥施工（招标项目名称）HNQL-2（标段名称）于2024年03月08日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年03月08日至2024年03月11日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中交路桥建设有限公司","2068180888"," 武汉都市区环线西南段投资管理有限公司"," 武汉市汉南区兴三路244号"," 杜先生"," 027-59307811"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 胡致远、彭典、王杨超、马星辉"," 027-87273603"
"4"," 中标结果公告"," 招标编号： HBSJ-202207FJ-130002001"," 武汉厂区综合楼和科研综合办公楼装修改造项目施工（招标项目名称）武汉厂区综合楼和科研综合办公楼装修改造项目施工（标段名称）于2022年11月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月05日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 南京金陵建筑装饰有限责任公司","13475626.02"," 中国船舶重工集团应急预警与救援装备股份有限公司"," 武汉市江夏区庙山开发区阳光大道5号"," 邹工"," 027-87970399"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 马原、高翔、范巍"," 027-87273583"
"5"," 中标结果公告"," 招标编号： HBSJ-202310GL-132005001"," 武汉都市圈环线高速公路汉南长江大桥及接线工程长江大桥主桥施工（招标项目名称）HNQL-1（标段名称）于2024年03月08日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年03月08日至2024年03月11日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁大桥局集团有限公司","2183803232"," 武汉都市区环线西南段投资管理有限公司"," 武汉市汉南区兴三路244号"," 杜先生"," 027-59307811"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 胡致远、彭典、王杨超、马星辉"," 027-87273603"
"6"," 中标结果公告"," 招标编号： HBSJ-202306GL-038001001"," 硚孝高速公路金北一路互通工程两阶段勘察设计（招标项目名称）硚孝高速公路金北一路互通工程两阶段勘察设计QXJBHT-1（标段名称）于2023年07月28日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月28日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","3594150"," 湖北联交投投资建设有限公司"," 湖北省武汉市武汉经济技术开发区军山街小军山社区商业楼103-90"," 胡女士"," 027-50161422"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 孙文全","13477050744"
"7"," 中标结果公告"," 招标编号： HBSJ-202301SL-002001006"," 三峡后续工作长江中下游影响处理湖北荆州段二期河道整治工程2023年度提前批项目长江干流部分（招标项目名称）三峡后续工作长江中下游影响处理湖北荆州段二期河道整治工程2023年度提前批项目长江干流第28标段（标段名称）于2023年03月25日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月25日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北盛达泰水利水电工程有限公司","19599925"," 荆州市长江河道管理局"," 荆州市沙市区金龙路49号"," 吴工"," 0716-8522034"," 湖北江河盛腾工程咨询有限公司"," 湖北省武汉市东湖新技术开发区武大园路5-2号国家地球空间信息产业基地北主楼2单元12层04号"," 邹工","18986718683"
"8"," 中标结果公告"," 招标编号： HBSJ-202209GL-078001001"," 马桥镇尧治河等19个村美丽乡村补短板强弱项县乡道道路改造工程堰垭村段公路刷黑施工（招标项目名称）马桥镇尧治河等19个村美丽乡村补短板强弱项县乡道道路改造工程堰垭村段公路刷黑施工（标段名称）于2022年10月26日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月26日至2022年10月28日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北工建基础设施建设有限公司","19211633.42"," 湖北乡投（保康）农业开发有限公司"," 湖北省襄阳市保康县城关镇光千路凌云大厦13A"," 李工","15570600080"," 浙江方圆工程咨询有限公司"," 武汉市武昌区和平大道福星惠誉水岸国际 K6-1栋1002室"," 王工","17362311987"
"9"," 中标结果公告"," 招标编号： HBSJ-202401GL-008001001"," 汉江北高速公路十堰段前期工作招标（招标项目名称）HJBGKCS-1标段（标段名称）于2024年02月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年02月29日至2024年03月04日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","114463680"," 十堰市交通运输局"," 湖北省十堰市香港街6号"," 周先生"," 0719-8687139"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 陈成"," 027-83625306"
"10"," 中标结果公告"," 招标编号： HBSJ-202307GL-041001004"," 湖北交通投资集团有限公司参加麻城至阳新高速公路北延线等工程投资人投标合作单位遴选招标（招标项目名称）MYBTJ-1标段（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中建铁路投资建设集团有限公司","91"," 湖北交通投资集团有限公司"," 武汉市汉阳区四新大道26号湖北国展中心广场(东塔)35-38层"," 张女士"," 027-87574805"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 潘梦夏"," 027-83858318"
