"id","company_name","company_type","business_status","establishment_date","approval_date","legal_representative","registered_capital","company_size","business_scope","registered_address","business_term","source","taxpayer_identification_number","business_registration_number","organization_code","contact_phone","email","taxpayer_qualification","province","city","district","website_link","industry"
"1","合肥市瑶海区谢长银蔬果园","个体工商户","存续","9/4/2020","20/4/2020","谢长银",,,"食用农产品、预包装食品、保健食品、肉类、禽类、水产品、日用百货销售；卷烟零售；室内娱乐活动服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区临泉东路静安瑞泰3栋104","2020-04-09至无固定期限","马克数据网","92340102MA2UMADM8F","340102601112339","MA2UMADM-8",,,,"安徽省","合肥市","瑶海区",,"农业"
"2","合肥寿山滨水生态农业开发有限公司","有限责任公司(自然人投资或控股)","存续","29/11/2011","3/12/2018","范伟","5000000",,"农业科技、农业技术的开发、服务、咨询与转让；农业信息咨询；花卉、苗木、盆景、草坪的研发、种植与销售；花卉租赁；瓜果蔬菜、农作物的种植与销售；生态旅游开发；农用机械、农具、农副产品的销售；水产品养殖与销售；农用机械的技术服务；园林绿化工程施工；绿化养护；景观设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区凤阳新村20栋603室","2011-11-29至2041-11-25","马克数据网","913401005872104446","340100000593609","58721044-4","0551-63457288;13965093108;18919659801","1421227542@qq.com|610566180@qq.com|14212275422@qq.com|18919659801@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"3","合肥市瑶海区卓新生态养殖家庭农场","个体工商户","存续","30/9/2022","30/9/2022","汪卓","100000",,"一般项目：谷物种植；豆类种植；油料种植；棉花种植；蔬菜种植；薯类种植；园艺产品种植；水果种植；草种植；农业园艺服务；灌溉服务；树木种植经营；木材加工；木材销售；牲畜销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：水产养殖；牲畜饲养；住宿服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","安徽省合肥市瑶海区长江东路与郎溪路交口金光苑7栋103","2022-09-30至无固定期限","马克数据网","92340102MA8PJ3N961","340102601638297","MA8PJ3N9-6",,,,"安徽省","合肥市","瑶海区",,"农业"
"4","安徽省凯泽现代农业有限公司","有限责任公司(自然人投资或控股)","吊销，未注销","24/10/2017","22/3/2021","郑凯","10000000",,"农作物种植；畜牧水产养殖；苗木、果树种植；农产品加工（以上限分公司经营）；生态蔬菜销售；农业观光旅游；土地治理；乡村旅游开发；农产品加销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区泗州路8号2号楼407室","2017-10-24至无固定期限","马克数据网","91340100MA2Q3C0P89","340100002091945","MA2Q3C0P-8","15956523456","2593791112@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"5","安徽乐满仓生态农业有限公司","有限责任公司(自然人投资或控股)","存续","15/5/2012","16/5/2014","骆此勇","2000000","小于50人","农作物种植；瓜果、蔬菜、花卉、苗木种植及销售；农业技术开发；仓储（除危险品）；农药（除高剧毒）、肥料、农用机械批发及销售；园艺技术开发；农业观光项目开发；农业技术服务；水产养殖；农副产品（除专项许可）销售（以上凡涉及许可的项目均凭许可证件经营）。","安徽省合肥市瑶海区砀山路正业大厦4层","2012-05-15至无固定期限","马克数据网","91340100597051774D","340100000653821","59705177-4","0139-6725519;0551-64263505;0551-7381673;0551-87381673;13956988928;13966725519","595281873@qq.com|864310634@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"6","安徽省好康农业科技有限公司","有限责任公司(自然人独资)","注销","1/11/2017","26/12/2019","董慧星","5000000",,"农业技术开发及转让；谷物、薯类、油料、豆类、蔬菜、花卉、苗木、水果、坚果、茶叶的种植、采购、加工及销售；畜、禽、水产品的养殖、采购、加工及销售；中药材的种植、加工；农业观光旅游；预包装食品的批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区恒大中央广场7＃商业楼101号","2017-11-01至无固定期限","马克数据网","91340100MA2Q3YLA9J","340100002099307","MA2Q3YLA-9",,,,"安徽省","合肥市","瑶海区",,"农业"
"7","合肥市新站区扁松岗农家果园","个体工商户","存续","10/9/2018","16/10/2018","童兴照",,,"瓜果种植、采摘销售；垂钓服务；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市新站区三十头社区五十头社居委东风组","2018-09-10至无固定期限","马克数据网","92340100MA2T27H80P","340108600328533","MA2T27H8-0","13956665555",,,"安徽省","合肥市","瑶海区",,"农业"
"8","合肥瑶海区史河湾稻谷服务部","个体工商户","吊销，未注销","10/11/2008","10/12/2013","江永能","5000",,"稻谷/服务","安徽省合肥市瑶海工业园磨店乡何大郢居委会史河湾村民组","2008-11-10至无固定期限","马克数据网",,"340102600051084",,,,,"安徽省","合肥市","瑶海区",,"农业"
"9","安徽放牛娃生态农业有限公司","有限责任公司(自然人投资或控股)","吊销，未注销","14/4/2014","25/1/2018","潘茂继","10000000",,"小黄牛销售、水产品销售、农作物种植、食用农产品销售，养殖技术和信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区站西路君临大厦2208","2014-04-14至无固定期限","马克数据网","913401000973913506","340100000958674","09739135-0","0551-62685905","3291736700@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"10","安徽圣普农业科技有限公司","有限责任公司(自然人投资或控股)","存续","6/4/2017","21/6/2021","陈和平","100000000",,"农业开发和技术推广；农产品种植、销售；水产养殖、销售及配送；畜禽养殖销售及配送；零售鲜冻肉类食品（猪、牛、羊、鸡、鹅、鸭畜禽动物肉产品及其分割品）；粮油、蔬菜、水果、干货调味品、预包装食品的销售；花卉、苗木种植、销售；农副产品购销及加工；旅游、休闲垂钓服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区裕溪路228号合肥大兴周谷堆农产品物流园2幢1至2层商147/147上","2017-04-06至无固定期限","马克数据网","91340225MA2NH0AD48","340224000064650","MA2NH0AD-4","13911815538;18756963248","407521146@qq.com|soldier20252@sina.com|chenheping@vip.163.com",,"安徽省","合肥市","瑶海区",,"农业"
