"id","name","corporation","registed_capital","status","province","city","district","company_type","industry","USCC","TIN","registed_num","location","business","birth_date_std"
"40bdcb80-da44-11f0-87c4-00ffed46c27d","芜湖罗西广告传媒有限公司","罗思","2000000","存续","安徽省","芜湖市","鸠江区","有限责任公司(自然人独资)","建筑装饰、装修和其他建筑业","91340207MA2TBB525W","91340207MA2TBB525W","340207000087892","安徽省芜湖市鸠江区褐山花苑42幢2202(申报承诺）","一般项目：广告设计、代理；广告制作；广告发布；平面设计；图文设计制作；市场营销策划；会议及展览服务；建筑装饰材料销售；日用百货销售；建筑材料销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；家用电器安装服务；交通及公共管理用金属标牌制造；交通及公共管理用标牌销售；园林绿化工程施工；企业形象策划；项目策划与公关服务；信息技术咨询服务；办公用品销售；办公设备耗材销售；花卉绿植租借与代管理；花卉种植；礼品花卉销售；城市绿化管理；专业设计服务；软件开发；电子产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；技术进出口；进出口代理；货物进出口；消防器材销售；安防设备销售；物联网设备销售；数字视频监控系统销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建设工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","17/12/2018"
"40bf019d-da44-11f0-87c4-00ffed46c27d","安徽海纳信息科技有限公司","郭振","5000000","存续","安徽省","宿州市","","有限责任公司(自然人投资或控股)","软件和信息技术服务业","91341300MA2MTHUL8L","91341300MA2MTHUL8L","341391000008541","宿州市高新技术产业开发区拱辰路8号","计算机软硬件及技术服务；信息系统集成；安防监控系统、网络工程、电子LED显示屏、数字化会议及广播视频系统、环保设备研发及销售、施工与技术服务；电子产品、仪器仪表、体育器材、办公设备、家具、标识标牌、家用电器、通讯产品（不含地面卫星接收设备）、日用百货；专业音响施工及技术服务、警用设备、保安器材、一类医疗器械销售(依法须经相关部门批准的项目,经批准后方可开展经营活动) 。","3/3/2016"
"40bf04f4-da44-11f0-87c4-00ffed46c27d","舒兰市健鑫水稻种植专业合作社","赵健","2430000","存续","吉林省","吉林市","舒兰市","农民专业合作社","农业","932202830540590088","932202830540590088","220283NA000325X","舒兰市平安镇F区","组织本社成员开展水稻种植；引进新技术、新品种；为本社成员购买水稻种植所需生产资料。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","24/5/2012"
"40bf0621-da44-11f0-87c4-00ffed46c27d","淮南市理想宏图电子科技有限公司","魏长永","2000000","存续","安徽省","淮南市","田家庵区","有限责任公司(自然人投资或控股)","软件和信息技术服务业","91340400052915835N","91340400052915835N","340400000109314","淮南市田家庵区朝阳街道鑫诚花园3栋138号","许可经营项目：无。一般经营项目：计算机软件开发，信息系统集成，计算机软硬件、办公自动化设备、监控设备、网络设备、机电设备、办公用品及耗材的销售，网站建设及维护。","22/8/2012"
"40bf0795-da44-11f0-87c4-00ffed46c27d","舒兰市宝丰水稻种植专业合作社","张军贤","4200000","存续","吉林省","吉林市","舒兰市","农民专业合作社","农业","93220283569988359J","93220283569988359J","220283NA000216X","舒兰市平安镇内D区","组织本社成员开展水稻种植、销售；为本社成员购买水稻种植所需生产资料。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","19/4/2011"
"40bf08d3-da44-11f0-87c4-00ffed46c27d","合肥徽屹隆商贸有限公司","苏婷","1000000","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人投资或控股)","批发业","91340102MA2UMYXK4F","91340102MA2UMYXK4F","340102000303647","安徽省合肥市瑶海区站前路中绿广场二期商3207室","文具用品批发（含互联网批发）；办公用品批发（含互联网批发）；体育用品器材批发（含互联网批发）；日用品批发（含互联网批发）；家具家居用品批发（含互联网批发）；厨具卫具及日用杂品批发（含互联网批发）；家用电器及电子产品零售(含互联网零售)；家具批发（含互联网批发）；计算机、通信及电子办公设备零售(含互联网零售)；首饰、工艺品及收藏品（不含文物）批发（含互联网批发）；橡胶制品批发（含互联网批发）；塑料制品批发（含互联网批发）；金属制品批发（含互联网批发）；消防金属制品批发（含互联网批发）；劳保用品销售(含互联网销售)；空气净化器批发（含互联网批发）；第一类医疗器械批发（含互联网批发）；第二类医疗器械批发（含互联网批发）；建筑材料、装饰材料（除危险品）、五金交电、电线电缆、机电设备销售(含互联网销售)；预包装食品零售(含互联网零售)；电子商务信息咨询；一般商品展销服务；企业管理咨询；室内外装饰装修工程；广告设计、制作、发布、代理（依法须经批准的项目，经相关部门批准后方可开展经营活动）","14/4/2020"
"40bf0b7f-da44-11f0-87c4-00ffed46c27d","安徽德客隆酒店用品有限公司","张明明","12880000","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人独资)","金属制品业","91340122MA2NM6WU70","91340122MA2NM6WU70","340122000161474","合肥市瑶海区东大街277号闽商国贸中心1幢2幢22221","酒店用品、餐具、家具、标识标牌、电器设备、日用百货、五金交电、电子产品、通风设备、制冷设备、食品加工设备、服装、家居用品、消防产品、劳保用品、卫浴洁具、办公用品、布艺制品、木制品、塑料制品、金属制品、清洁用品及设备、玻璃器皿、厨房设备、厨具、农副产品、预包装食品、散装食品销售；蔬菜、水果种植、销售；水产品养殖、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","19/5/2017"
"40bf0d17-da44-11f0-87c4-00ffed46c27d","合肥盈拓成电子科技有限公司","周恒英","1000000","存续","安徽省","合肥市","蜀山区","有限责任公司(自然人投资或控股)","科技推广和应用服务业","91340100MA2N9CX548","91340100MA2N9CX548","340100001858706","合肥市蜀山区长江西路3号春天大厦2401室","电子产品研发；计算机软硬件销售及相关网络维护保养；综合布线工程安装；智能化集成管理系统安装及销售；计算机及网络设备、多功能会议室音响广播灯光设备、网络安全管理设备、服务器及存储备份设备、办公用品设备、数码电子设备、数字家电及智能家居设备、安防监控设备批发及零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","19/12/2016"
"40bf0e73-da44-11f0-87c4-00ffed46c27d","舒兰市富强有机水稻种植专业合作社","高志有","11980000","注销","吉林省","吉林市","舒兰市","农民专业合作社","农业","93220283696124609D","93220283696124609D","220283NA000061X","舒兰市莲花乡东大村四社","组织本社成员开展水稻种植、销售；为本社成员购买生产资料；开展水稻种植技术培训、咨询与服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","27/11/2009"
"40bf0fa6-da44-11f0-87c4-00ffed46c27d","合肥市百益通商贸有限公司","吴利","1000000","存续","安徽省","合肥市","","有限责任公司(自然人投资或控股)","批发业","91340100MA8QR1ND8U","91340100MA8QR1ND8U","","合肥市新站区通宝路与修竹路交口新店雅苑C区6栋902室","一般项目：办公用品销售；文具用品批发；文具用品零售；体育用品及器材零售；日用百货销售；家用电器销售；气体、液体分离及纯净设备销售；家具销售；化妆品零售；服装服饰批发；工艺美术品及礼仪用品销售（象牙及其制品除外）；鞋帽批发；通讯设备销售；农副产品销售；汽车零配件零售；建筑材料销售；建筑装饰材料销售；五金产品批发；电线、电缆经营；医护人员防护用品零售；第一类医疗器械销售；第二类医疗器械销售；园林绿化工程施工；市政设施管理；礼品花卉销售；新鲜蔬菜批发；新鲜水果批发；防火封堵材料销售；3D打印基础材料销售；信息安全设备销售；物业管理；家政服务；音响设备销售；广告设计、代理；平面设计；项目策划与公关服务；食用农产品零售；食品销售（仅销售预包装食品）；房地产经纪；塑料制品销售；房屋拆迁服务；劳务服务（不含劳务派遣）；数字视频监控系统销售；市场营销策划；金属结构销售；电子产品销售；集装箱销售；劳动保护用品销售；商业综合体管理服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：公路管理与养护；建设工程施工；建筑智能化系统设计；食品销售；酒类经营；药品零售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","27/7/2023"
