"company_name","business_status","legal_representative","registered_capital","paid_in_capital","establishment_date","approval_date","business_term","province","city","district","phone","additional_phones","email","additional_emails","unified_social_credit_code","taxpayer_identification_number","business_registration_number","organization_code","insured_personnel_count","company_type","industry","former_name","registered_address","latest_annual_report_address","website","business_scope","match_status"
"合肥工大共达工程检测试验有限公司","开业","完海鹰","30000000","30000000","26/7/1995 00:00:00","21/9/2023 00:00:00","1995-07-26 至 2059-01-16","安徽省","合肥市","包河区","0551-69118991","0551-67330503,0551-62901125,18556558151,13866125506,0551-62901522","13866125506@163.com","-","913401001491915621","913401001491915621","340100000165590","14919156-2","295","有限责任公司(非自然人投资或控股的法人独资)","建筑装饰、装修和其他建筑业","-","合肥市包河经济开发区花园大道369号合工大智能院智能研发中心B区","合肥市包河经济开发区花园大道369号合工大智能院智能研发中心B区","www.hfgdjc.com","建设工程、交通工程、水利电力工程及铁路工程质量检测；桥隧与道路工程检测；轨道工程检测；消防检测；人防检测；防雷检测；节能检测；环境检测；管道检测；管道评估；工程结构可靠性鉴定；建筑物抗震性能评估；工程勘察；工程监测；测绘工程；地理信息工程；绿色建筑与绿色建材评价标识及咨询；工程检测技术研究、技术咨询、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"安徽省建院工程质量检测有限公司","开业","仇伟","5000000","5000000","11/7/2006 00:00:00","3/7/2024 00:00:00","-","安徽省","合肥市","蜀山区","18919765238","13705606973,34131100,18010019450,13965003739,0551-62899396","949850280@qq.com","949850280@QQ.COM","913401007901365693","913401007901365693","340107000002750","79013656-9","203","其他有限责任公司","商务服务业","安徽宏晟建设工程质量检测有限公司","安徽省合肥市经济技术开发区蓬莱路718号-2","安徽省合肥市经济技术开发区蓬莱路718号-2","www.ahsjyjc.cn","建筑工程质量检测；公路水运工程试验检测；水利电力工程及铁路质量检测；建设工程结构可靠性鉴定；建筑物及岩土工程检测与监测；建设工程测试咨询及测试技术研发；消防检测；雷电防护装置检测；雷电灾害风险评估；地质勘查；测绘工程；地理信息工程；地震工程；节能评估；环境检测；工程检测；消防安全评估；绿色建筑与绿色建材评价标识及咨询；管道检测；管道评估；人防工程质量检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"合肥工大工程试验检测有限责任公司","开业","崔永健","1352900","1352800","19/8/2005 00:00:00","27/5/2024 00:00:00","2005-08-19 至 2056-08-18","安徽省","合肥市","肥东县","0551-64283128","0551-62919360,0551-65191888,0551-62919361,13855082020,0551-65198815","hfuteti@sina.com","hfuteti@163.com","91340122779065528Q","91340122779065528Q","340100000006640","77906552-8","504","其他有限责任公司","居民服务业","-","肥东县撮镇镇新安社区燎原路西侧工大建科楼","合肥市包河区花园大道369号合肥工业大学智能制造技术研究院","www.hfuteti.com","许可项目：检验检测服务；雷电防护装置检测；建设工程质量检测；水利工程质量检测；室内环境检测；建设工程勘察；测绘服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：公路水运工程试验检测服务；消防技术服务；工程技术服务（规划管理、勘察、设计、监理除外）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；建设工程消防验收现场评定技术服务；工程和技术研究和试验发展；安全咨询服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","成功"
"群毅建设工程有限公司","开业","翟清胜","50000000","110000","19/9/2018 00:00:00","29/5/2023 00:00:00","-","安徽省","合肥市","长丰县","0551-65340211","15056083321,0551-65112255,0551-65112322","1458490817@qq.com","-","91340100MA2T351U9Q","91340100MA2T351U9Q","340100002188235","MA2T351U-9","9","有限责任公司(自然人投资或控股)","房屋建筑业","-","安徽省合肥市长丰县双墩镇濛河路1号创孵中心G310","安徽省合肥市长丰县双墩镇濛河路1号创孵中心G310","-","建筑工程；园林绿化工程；园林景观设计；市政公用工程；水利工程；室内外装饰装修工程，环保工程；防水防腐工程；外墙保温工程；公路交通工程；城市道路照明工程；体育场地设施工程；安全防范工程设计与施工；房屋修缮工程；钢结构工程；地基基础工程；消防设施工程；古建筑工程；空气净化工程；建筑智能化工程设计、施工；计算机系统集成；展览展示服务；房屋拆除；保洁服务；企业信息咨询；工程造价信息咨询；建筑劳务分包；金属门窗、标牌、灯箱安装；机电设备安装；国内广告设计、制作、发布。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"安徽霄泽建设工程有限公司","开业","梁志祥","41000000","41000000","7/3/2023 00:00:00","2/2/2024 00:00:00","-","安徽省","合肥市","巢湖市","13635651719","-","2503324285@qq.com","-","91340123MA8Q4U7L58","91340123MA8Q4U7L58","340123000495597","MA8Q4U7L-5","0","有限责任公司(自然人投资或控股)","土木工程建筑业","安徽霄泽建筑工程有限公司","安徽省合肥市巢湖市烔炀镇兴烔路与庙忠路交叉处丽都国际花园13栋01铺","安徽省合肥市巢湖市烔炀镇兴烔路与庙忠路交叉处丽都国际花园13栋01铺","-","许可项目：建设工程施工；建设工程设计；住宅室内装饰装修；电气安装服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：消防技术服务；专业设计服务；园林绿化工程施工；体育场地设施工程施工；土石方工程施工；金属门窗工程施工；建筑工程机械与设备租赁；五金产品零售；建筑材料销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","成功"
"合肥工业大学设计院（集团）有限公司","开业","张彤阳","60200000","60200000","15/11/1994 00:00:00","4/9/2023 00:00:00","-","安徽省","合肥市","包河区","0551-2919506","0551-62903785,0551-62903899,0551-68233026,18605519180,0551-4650919","zhglb@hfutdi.cn","hfutadi@163.com","91340100149185568Q","91340100149185568Q","340100000218423","14918556-8","582","有限责任公司(非自然人投资或控股的法人独资)","居民服务业","合肥工业大学建筑设计研究院","安徽省合肥市包河区花园大道369号","合肥市包河区花园大道369号","www.hfutdi.cn","许可项目：建设工程设计；国土空间规划编制；建筑智能化系统设计；文物保护工程勘察；文物保护工程设计；建设工程勘察；建设工程监理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；工程造价咨询业务；人防工程设计；专业设计服务；工程技术服务（规划管理、勘察、设计、监理除外）；规划设计管理；招投标代理服务；政府采购代理服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","成功"
"安徽华策建设有限公司","开业","吕明清","42680000","42680000","6/4/2015 00:00:00","27/8/2019 00:00:00","2015-04-06 至 2045-04-05","安徽省","合肥市","肥东县","0551-65555257","0551-65569789,15056330760,15155117776,0556-4967802","649969142@qq.com","71726824@qq.com,708995716@qq.com,24317550@qq.com,740946034@qq.com","91340122336677883X","91340122336677883X","340122000101371","33667788-3","19","有限责任公司(自然人投资或控股)","房屋建筑业","-","肥东县店埠镇人民路检察院宿舍楼104号","肥东县店埠镇人民检察院宿舍楼104号","-","房屋建设工程、防腐保温工程、地基与基础工程、钢结构工程、公路工程、公路养护工程、公路交通工程、市政公用工程、机场场道工程、水利水电工程、机电安装工程、河湖整治工程、堤防工程、水工大坝工程、电力工程（不含承装（修、试）电力设施）、电子工程、安防工程、环保工程、园林绿化工程、管道工程（不含压力管道）、特种专业工程（不含特种设备）、建筑装修装饰工程、建筑幕墙工程、建筑智能化工程、消防设施工程、土石方工程、城市及道路照明工程、园林古建筑工程、矿山工程设计与施工；工程机械设备、环保机械设备租赁及销售；桥梁维修及加固；园林绿化养护；农村改厕施工；化粪池安装；劳务分包；交通道路标志（标识）牌生产、制作。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"安徽巢炀建设工程有限公司","开业","赵玲","51800000","10200000","18/11/2014 00:00:00","8/11/2023 00:00:00","2014-11-18 至 2044-11-17","安徽省","合肥市","肥东县","0551-65193311","18055217044,13855403232,0551-67801002,0551-65191373,13855103232","2431652475@qq.com","2585373522@qq.com,251261677@qq.com,284888167@qq.com","913401003946328868","913401003946328868","340100001130667","39463288-6","30","有限责任公司(自然人投资或控股)","房屋建筑业","安徽巢炀建筑劳务有限公司","安徽省合肥市肥东县石塘镇石塘区银桥街26号B幢113室","合肥市肥东县石塘镇石塘区银桥街26号B幢113室","-","一般项目：对外承包工程；园林绿化工程施工；体育场地设施工程施工；普通机械设备安装服务；室内木门窗安装服务；土石方工程施工；金属门窗工程施工；建筑工程机械与设备租赁；工程管理服务；工程造价咨询业务；环境卫生公共设施安装服务；住宅水电安装维护服务；家用电器安装服务；汽车拖车、求援、清障服务；建筑物清洁服务；建筑材料销售；电线、电缆经营；建筑装饰材料销售；建筑防水卷材产品销售；地板销售；水泥制品销售；建筑用钢筋产品销售；建筑陶瓷制品销售；砖瓦销售；石棉水泥制品销售；集贸市场管理服务；建筑砌块销售；五金产品零售；特种劳动防护用品销售；防腐材料销售；保温材料销售；门窗销售；广告设计、代理；图文设计制作；规划设计管理；平面设计；集成电路设计；广告制作；市场营销策划（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建设工程施工；输电、供电、受电电力设施的安装、维修和试验；建设工程施工（除核电站建设经营、民用机场建设）；民用核安全设备安装；电气安装服务；舞台工程施工；住宅室内装饰装修；施工专业作业；建筑劳务分包；建筑物拆除作业（爆破作业除外）；人防工程防护设备安装；建设工程监理；建设工程勘察；人防工程设计；建筑智能化系统设计；城市建筑垃圾处置（清运）；建设工程设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","成功"
"安徽自力建筑工程有限公司","开业","王永强","40400000","10900000","5/2/2018 00:00:00","23/3/2023 00:00:00","-","安徽省","合肥市","瑶海区","0551-66331185","13805692148","1455238968@qq.com","-","91340102MA2RGX8U9W","91340102MA2RGX8U9W","340102000060709","MA2RGX8U-9","15","有限责任公司(自然人投资或控股)","建筑装饰、装修和其他建筑业","-","合肥市瑶海区当涂路东天使苑铂金时代1002","合肥市瑶海区当涂路东天使苑铂金时代1002","-","房屋建筑工程、防水防腐保温工程、园林绿化工程、土石方工程、地基与基础工程、城市道路照明工程、机电设备安装工程、建筑装饰装修工程、市政工程、钢结构工程、环保工程、堤防工程、公路工程、电力工程、水利水电工程、河湖整治工程、建筑墙幕工程施工；装配式建筑安装、施工；预制构件安装、施工；建筑智能化系统、模版、脚手架安装；建筑劳务分包（除劳务派遣）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"苏州市兴邦化学建材有限公司","开业","毛荣良","30000000","7300000","26/12/2001 00:00:00","13/9/2021 00:00:00","-","江苏省","苏州市","相城区","13913131989","15950059523,0512-68325996,0512-66707196,65351918,13901543512","liping.zhang@szsunbo.com","dyh@szsunbo.com","91320507737071348B","91320507737071348B","320507000009304","73707134-8","134","有限责任公司(自然人投资或控股)","非金属矿物制品业","-","苏州市相城区望亭镇华阳村新华村路318号","苏州市相城区望亭镇华阳村新华村路318号","www.xbcbm.com","生产、研制、销售：磺化密胺树脂、耐磨材料、彩色水泥、塑料模具、钢纤维混凝土井盖、预制构件、井盖机械制造、复合型井盖（上述范围涉及资质的，凭资质经营）；生产、销售：缓凝剂、聚羧酸盐复合减水剂项目及研制项目由下设分支机构经营；销售：化工产品（不含危化品）、建材产品、金属井盖；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","成功"
