"name","corporation","registed_capital","birth_date","manage_date","status","province","city","district","type","industry","USCC","TIN","registed_num","insured_persons","location","url","business"
"安徽海纳信息科技有限公司","郭振","500万人民币","2016-03-03","2016-03-03 至 无固定期限","存续","安徽省","宿州市","-","有限责任公司(自然人投资或控股)","软件和信息技术服务业","91341300MA2MTHUL8L","91341300MA2MTHUL8L","341391000008541","3","宿州市高新技术产业开发区拱辰路8号","-","计算机软硬件及技术服务；信息系统集成；安防监控系统、网络工程、电子LED显示屏、数字化会议及广播视频系统、环保设备研发及销售、施工与技术服务；电子产品、仪器仪表、体育器材、办公设备、家具、标识标牌、家用电器、通讯产品（不含地面卫星接收设备）、日用百货；专业音响施工及技术服务、警用设备、保安器材、一类医疗器械销售(依法须经相关部门批准的项目,经批准后方可开展经营活动) 。"
"淮南市理想宏图电子科技有限公司","魏长永","200万人民币","2012-08-22","2012-08-22 至 无固定期限","存续","安徽省","淮南市","田家庵区","有限责任公司(自然人投资或控股)","软件和信息技术服务业","91340400052915835N","91340400052915835N","340400000109314","4","淮南市田家庵区朝阳街道鑫诚花园3栋138号","-","许可经营项目：无。一般经营项目：计算机软件开发，信息系统集成，计算机软硬件、办公自动化设备、监控设备、网络设备、机电设备、办公用品及耗材的销售，网站建设及维护。"
"合肥徽屹隆商贸有限公司","苏婷","100万人民币","2020-04-14","2020-04-14 至 无固定期限","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人投资或控股)","批发业","91340102MA2UMYXK4F","91340102MA2UMYXK4F","340102000303647","4","安徽省合肥市瑶海区站前路中绿广场二期商3207室","-","文具用品批发（含互联网批发）；办公用品批发（含互联网批发）；体育用品器材批发（含互联网批发）；日用品批发（含互联网批发）；家具家居用品批发（含互联网批发）；厨具卫具及日用杂品批发（含互联网批发）；家用电器及电子产品零售(含互联网零售)；家具批发（含互联网批发）；计算机、通信及电子办公设备零售(含互联网零售)；首饰、工艺品及收藏品（不含文物）批发（含互联网批发）；橡胶制品批发（含互联网批发）；塑料制品批发（含互联网批发）；金属制品批发（含互联网批发）；消防金属制品批发（含互联网批发）；劳保用品销售(含互联网销售)；空气净化器批发（含互联网批发）；第一类医疗器械批发（含互联网批发）；第二类医疗器械批发（含互联网批发）；建筑材料、装饰材料（除危险品）、五金交电、电线电缆、机电设备销售(含互联网销售)；预包装食品零售(含互联网零售)；电子商务信息咨询；一般商品展销服务；企业管理咨询；室内外装饰装修工程；广告设计、制作、发布、代理（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"合肥盈拓成电子科技有限公司","周恒英","100万人民币","2016-12-19","2016-12-19 至 无固定期限","存续","安徽省","合肥市","蜀山区","有限责任公司(自然人投资或控股)","科技推广和应用服务业","91340100MA2N9CX548","91340100MA2N9CX548","340100001858706","0","合肥市蜀山区长江西路3号春天大厦2401室","-","电子产品研发；计算机软硬件销售及相关网络维护保养；综合布线工程安装；智能化集成管理系统安装及销售；计算机及网络设备、多功能会议室音响广播灯光设备、网络安全管理设备、服务器及存储备份设备、办公用品设备、数码电子设备、数字家电及智能家居设备、安防监控设备批发及零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"合肥市百益通商贸有限公司","吴利","100万人民币","2023-07-27","2023-07-27 至 无固定期限","存续","安徽省","合肥市","-","有限责任公司(自然人投资或控股)","批发业","91340100MA8QR1ND8U","91340100MA8QR1ND8U","","-","合肥市新站区通宝路与修竹路交口新店雅苑C区6栋902室","-","一般项目：办公用品销售；文具用品批发；文具用品零售；体育用品及器材零售；日用百货销售；家用电器销售；气体、液体分离及纯净设备销售；家具销售；化妆品零售；服装服饰批发；工艺美术品及礼仪用品销售（象牙及其制品除外）；鞋帽批发；通讯设备销售；农副产品销售；汽车零配件零售；建筑材料销售；建筑装饰材料销售；五金产品批发；电线、电缆经营；医护人员防护用品零售；第一类医疗器械销售；第二类医疗器械销售；园林绿化工程施工；市政设施管理；礼品花卉销售；新鲜蔬菜批发；新鲜水果批发；防火封堵材料销售；3D打印基础材料销售；信息安全设备销售；物业管理；家政服务；音响设备销售；广告设计、代理；平面设计；项目策划与公关服务；食用农产品零售；食品销售（仅销售预包装食品）；房地产经纪；塑料制品销售；房屋拆迁服务；劳务服务（不含劳务派遣）；数字视频监控系统销售；市场营销策划；金属结构销售；电子产品销售；集装箱销售；劳动保护用品销售；商业综合体管理服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：公路管理与养护；建设工程施工；建筑智能化系统设计；食品销售；酒类经营；药品零售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"安徽沁华商贸有限公司","修芳","1000万人民币","2018-11-09","2018-11-09 至 无固定期限","存续","安徽省","合肥市","蜀山区","有限责任公司(自然人投资或控股)","批发业","91340104MA2T7K6F0T","91340104MA2T7K6F0T","340104000240896","0","安徽省合肥市蜀山区望江路60号合力家园1村32栋108室","-","一般项目：电子专用设备销售；电力电子元器件销售；机械设备销售；办公设备销售；办公设备耗材销售；通讯设备销售；移动通信设备销售；电气设备销售；照明器具销售；电线、电缆经营；五金产品零售；照相机及器材销售；体育用品及器材零售；日用百货销售；针纺织品销售；家用电器销售；家具销售；劳动保护用品销售；汽车零配件零售；汽车旧车销售；建筑材料销售；化工产品销售（不含许可类化工产品）；保健食品（预包装）销售；食品销售（仅销售预包装食品）；互联网销售（除销售需要许可的商品）；软件销售；电子产品销售；计算器设备销售；平面设计；母婴用品销售；图文设计制作；市场营销策划；农副产品销售；初级农产品收购；第二类医疗器械销售；第一类医疗器械销售；卫生用品和一次性使用医疗用品销售；医护人员防护用品零售；医用口罩零售；医护人员防护用品批发（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：烟草制品零售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"合肥达斯辉机电设备有限公司","李桂玲","100万人民币","2018-12-06","2018-12-06 至 无固定期限","存续","安徽省","合肥市","瑶海区","有限责任公司（自然人投资或控股的法人独资）","零售业","91340100MA2TADCW5U","91340100MA2TADCW5U","340108000231571","3","合肥市新站区铜陵路北路与扶疏路交口阳光汇景18栋1203室","-","机械设备、机电产品、仪器仪表、金属材料、计算机软硬件、教学仪器、3D打印设备，教学仿真软件、办公设备、工业自动化机械设备、数控机械设备、工业智能机器人、物流自动化机械设备、汽车配件、五金工具销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；信息系统软件开发及相关技术咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"安徽民旎商贸有限公司","孙明健","500万人民币","2022-02-09","2022-02-09 至 无固定期限","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人独资)","批发业","91340102MA8NN40H89","91340102MA8NN40H89","340102000560351","3","安徽省合肥市瑶海区长江东路8号琥珀名城和园12幢1408","-","一般项目：文具用品批发；文具用品零售；办公用品销售；纸制品销售；互联网销售（除销售需要许可的商品）；体育用品及器材批发；日用品批发；日用品销售；塑料制品销售；日用杂品销售；计算机软硬件及辅助设备批发；工艺美术品及收藏品批发（象牙及其制品除外）；家具销售；厨具卫具及日用杂品批发；劳动保护用品销售；办公设备销售；通讯设备销售；电子产品销售；仪器仪表销售；橡胶制品销售；服装辅料销售；鞋帽零售；个人卫生用品销售；食品用洗涤剂销售；日用百货销售；母婴用品销售；食品互联网销售（仅销售预包装食品）；家居用品销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"合肥斌鼎商贸有限公司","张斌","200万人民币","2018-12-13","2018-12-13 至 无固定期限","存续","安徽省","合肥市","蜀山区","有限责任公司(自然人独资)","批发业","91340104MA2TB1E84A","91340104MA2TB1E84A","340104000264675","3","安徽省合肥市蜀山区岳西路31号经典雅苑4幢101室","-","计算机设备及软件、办公设备、农副食品、图书档案设备、机械设备、电气设备、通信设备、影视设备、仪器仪表、计量标准器具及量具、衡器、印刷机械、医疗设备、货币处理专用设备、文艺设备、体育设备、娱乐设备、厨卫用具、家具及零配件、服装、家用电器、纸及纸制品、印刷品及用品、图书、办公用品及耗材、颜料、文教用品、清洁用品、日化用品、预包装食品、盐、茶叶、橡胶制品、塑料制品、玻璃及其制品、陶瓷制品、垃圾容器、建筑材料、五金交电、水暖器材、服装鞋帽、劳保用品、日用百货销售；图文广告设计、制作、代理、发布；广告材料销售与租赁；装饰工程；亮化工程。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"安徽日日顺物流服务有限公司","孙敏","200万人民币","2013-10-10","2013-10-10 至 无固定期限","存续","安徽省","合肥市","蜀山区","有限责任公司(自然人投资或控股)","道路运输业","91340321080301697M","91340321080301697M","340321000046379","0","中国（安徽）自由贸易试验区合肥片区湖光路自主创新产业基地三期（南区）B座214-21","-","道路普通货物运输；货物装卸搬运与配送、物流信息咨询、仓储及相关信息咨询、经济信息咨询、房地产信息咨询、人力资源信息咨询、互联网信息、计算机技术服务；文化艺术交流、展览展示、会务服务；家具、家电、电脑维修安装服务；印刷、打字复印、机械设备租赁服务；广告设计、制作、发布、代理；日用百货、服装鞋帽、针纺织品、文体用品、钟表眼镜、五金交电、厨卫用品、家用电器、商用空调、电脑及软硬件、电子产品、工艺品、家具、课桌椅、花卉、电动车、汽车配件、金属材料、建筑材料、消防器材、机电设备、教学设备、办公设备及用品、多媒体设备、录播室设备、净水设备、图书报刊、预包装食品、化工产品（除违禁品）、酒店用品、保温防水材料、不锈钢制品、纸制品、通讯设备、玩具、塑胶地板销售；体育场地、教学室、电子显示屏安装与施工；一类医疗器械、二类医疗器械经营销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"宁国市现代办公设备有限公司","段琪国","102万人民币","1999-09-03","1999-09-03 至 2024-09-02","存续","安徽省","宣城市","宁国市","有限责任公司(自然人独资)","软件和信息技术服务业","913418811534437774","913418811534437774","342502000011232","12","宁国市城东路锦宁花园11幢2003-2005室","-","计算机设备及软件、办公设备、机械设备、防盗监控器材、卫星定位设备、电子显示屏、灯光音响设备、图书档案设备、空调设备、电气设备、通信设备、广播电视设备、仪器仪表、测量计量设备、文艺设备、体育设备、娱乐设备、电器、家电、图书、家具用具、服装、针纺织品、检测设备、电子产品设备、教学用电教设备、实验室设备、办公家具、橡塑制品、纸制品及印刷品、办公消耗用品销售；系统集成工程、网络工程、装饰装修工程、安全技术防范工程、电子与智能化工程的设计及安装施工，电子信息领域内的技术开发、技术转让、技术咨询、技术服务；网站设计制作；办公设备租赁服务；电子设备维修和保养服务；广告设计制作发布；环境治理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"黄山市屯溪区新凯办公设备服务中心","张呈旻","2万人民币","2007-10-23","-","存续","安徽省","黄山市","屯溪区","个体工商户","金属制品、机械和设备修理业","92341002MA2NEK6L29","92341002MA2NEK6L29","341002600005555","-","安徽省黄山市屯溪区安东路14号","-","电脑、办公设备、监控设备零售，维修服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"合肥吉之宝商贸有限公司","许亚男","50万人民币","2017-07-28","2017-07-28 至 无固定期限","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人独资)","批发业","91340102MA2NUMYQ4T","91340102MA2NUMYQ4T","340102000034800","4","安徽省合肥市瑶海区临泉路安徽大市场文体市场2栋31号","-","计算机设备及软件、打印设备及耗材、劳保用品、日用百货、办公用品、办公设备、图书档案设备、机械设备、机电设备、电气设备、通信设备、消防器材、消防设备、广播设备、家用电器、电影设备、计量标准器具、造纸和印刷机械、体育设备、第一类医疗器械、第二类医疗器械销售（含网上）；厨卫用具、家具及配件、纺织用料、服装鞋帽、纸制品、印刷品、文教用品、清洁用品、预包装食品、化工原料及产品（除危险品）、橡胶制品、塑料制品、玻璃制品、陶瓷制品、垃圾容器、包装容器、摄影设备及配件、道路交通标志、护栏、路灯、红绿灯、一次性纸制品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"广德正网信息技术有限公司","程崇萍","200万人民币","2019-02-18","2019-02-18 至 无固定期限","存续","安徽省","宣城市","广德市","有限责任公司(自然人独资)","软件和信息技术服务业","91341822MA2TFL380A","91341822MA2TFL380A","341822000177116","0","安徽省宣城市广德县广宁路与熙春路交叉路口1-104、204室","-","计算机软硬件销售、打印机及耗材、办公设备、电子产品、日用百货、数码产品、电子大屏、多媒体设备、安防监控设备、通信与网络设备、考勤设备、家具、家电设备、环保设备、LED电子屏销售与维修、电脑耗材及线材售后服务；弱电工程、监控工程、综合布线、楼宇工程、智能化设备工程施工；会议系统、机房系统、计算机系统集成与技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"合肥觐见迩商贸有限公司","杨德兵","50万人民币","2021-04-30","2021-04-30 至 无固定期限","存续","安徽省","合肥市","包河区","有限责任公司(自然人投资或控股)","批发业","91340111MA8LA40819","91340111MA8LA40819","340111000772167","0","合肥市包河区东流路19号望湖北苑4幢1-404","-","一般项目：日用百货销售；办公用品销售；厨具卫具及日用杂品批发；棉、麻销售；文具用品批发；日用品批发；针纺织品及原料销售；鞋帽批发；服装服饰批发；家用电器销售；体育用品及器材批发；乐器批发；珠宝首饰批发；新型陶瓷材料销售；日用品销售；建筑材料销售；橡胶制品销售；五金产品批发；通讯设备销售；广播影视设备销售；办公设备销售；仪器仪表销售；消防器材销售；电子元器件批发；化妆品批发；日用口罩（非医用）销售；医护人员防护用品批发；医用口罩批发；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售；劳动保护用品销售；家居用品销售；个人卫生用品销售；针纺织品销售；礼品花卉销售；钟表销售；母婴用品销售；眼镜销售（不含隐形眼镜）；家用视听设备销售；卫生洁具销售；灯具销售；建筑装饰材料销售；互联网销售（除销售需要许可的商品）；家具销售；乐器零配件销售；金属结构销售；光缆销售；塑料制品销售；光纤销售；电池销售；计算器设备销售；教学用模型及教具销售；办公设备耗材销售；电子产品销售；制冷、空调设备销售；照明器具销售；音响设备销售；玩具销售；卫生陶瓷制品销售；纸制品销售；日用杂品销售；安防设备销售；室内卫生杀虫剂销售；食品用洗涤剂销售；非食用植物油销售；物业管理；广告设计、代理；住宅水电安装维护服务；广告发布（非广播电台、电视台、报刊出版单位）；广告制作（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：食品经营（销售预包装食品）；建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"亳州市诚信文化体育用品销售有限公司","仉明侠","200万人民币","2010-08-05","2010-08-05 至 无固定期限","存续","安徽省","亳州市","-","有限责任公司(自然人投资或控股)","体育","91341600559244604X","91341600559244604X","341600000044131","9","安徽省亳州市高新区嵇康路绿城桐华郡2幢2单元1703","-","一般经营项目：文化体育用品、日用百货、家用电器、电脑耗材、烟、酒、食品批发零售；洗涤用品、化妆品、卫生用品、玩具、针纺织品、服装鞋帽、工艺品（不含象牙及其制品、不含文物）、计算机硬件及配件、包装材料（不含危险化学品、不含易燃易爆物品）、办公用品、纸制品、乐器、家具、卫生洁具、陶瓷制品、皮革制品、橡塑制品、玻璃制品、仪器仪表、健身器材、通讯器材、音响设备、电子产品、五金产品、珠宝首饰、茶具、教学设备、图书、饰品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"定远县星茂电脑科技有限公司","潘红","60万人民币","2021-03-02","2021-03-02 至 无固定期限","存续","安徽省","滁州市","定远县","有限责任公司(自然人独资)","软件和信息技术服务业","91341125MA2WQLCA77","91341125MA2WQLCA77","341125000123703","0","安徽省滁州市定远县定城镇黄金步行街西区A区211.212","-","计算机网络工程与技术服务；安防设备安装及销售；计算机软件及辅助设备、电子产品、办公设备及耗材、文化用品、儿童玩具、音乐器材、美术器材、环卫器材、体育器材、家具、图书档案设备、机械设备、电气设备、仪器仪表、通信设备、广播影视设备、塑料制品、玻璃制品、日用杂品（不含烟花爆竹）销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
