"id","企业名称","法定代表人","注册资本","成立日期","核准日期","营业期限","所属省份","所属城市","所属区县","统一社会信用代码","参保人数","企业类型","所属行业","注册地址","经营范围"
"1","合肥新华书店有限公司","王勇","9,715.96万(元)","1994-12-31","2025-05-13","1994-12-31 至 2033-12-31","安徽省","合肥市","庐阳区","913401001491451797","432人","有限责任公司(自然人投资或控股的法人独资)","零售业","安徽省合肥市长江中路152号","许可项目：出版物互联网销售；出版物批发；出版物零售；中小学教科书发行；食品销售；餐饮服务；烟草制品零售；电影放映；建设工程施工；互联网直播技术服务；旅游业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：电子产品销售；人工智能行业应用系统集成服务；软件开发；软件销售；音响设备销售；网络设备销售；计算机软硬件及辅助设备零售；第一类医疗器械销售；第二类医疗器械销售；数字视频监控系统销售；玩具、动漫及游艺用品销售；工艺美术品及礼仪用品制造（象牙及其制品除外）；办公设备耗材销售；办公服务；玩具销售；互联网销售（除销售需要许可的商品）；眼镜销售（不含隐形眼镜）；钟表销售；日用品销售；日用百货销售；乐器零售；乐器零配件销售；针纺织品销售；家用电器销售；家用电器零配件销售；会议及展览服务；日用家电零售；单用途商业预付卡代理销售；搪瓷制品销售；家具销售；家具零配件销售；五金产品零售；日用化学产品销售；文具用品零售；厨具卫具及日用杂品零售；服装服饰零售；鞋帽零售；体育健康服务；体育保障组织；体育赛事策划；体育用品及器材零售；体育竞赛组织；体育用品设备出租；远程健康管理服务；健康咨询服务（不含诊疗服务）；大数据服务；数据处理和存储支持服务；移动终端设备制造；数据处理服务；卫生洁具销售；塑料制品销售；农副产品销售；办公用品销售；油墨销售（不含危险化学品）；化妆品零售；珠宝首饰零售；住房租赁；柜台、摊位出租；销售代理；教育咨询服务（不含涉许可审批的教育培训活动）；数字内容制作服务（不含出版发行）；广告设计、代理；广告制作；广告发布；文化场馆管理服务；市场营销策划；咨询策划服务；仪器仪表销售；实验分析仪器销售；教学专用仪器销售；游乐园服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；中小学生校外托管服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"2","合肥滨湖城市运营管理集团有限公司","胡邦尧","9,000万(元)","1997-09-18","2024-11-12","-","安徽省","合肥市","包河区","91340100149254076B","968人","有限责任公司(非自然人投资或控股的法人独资)","房地产业","安徽省合肥市包河区北京路与龙川路交口西南角仁和佳园三期商业楼3楼整层","许可项目：建设工程施工；第一类增值电信业务；第二类增值电信业务；酒类经营；食品销售；餐饮服务；道路货物运输（不含危险货物）；城市建筑垃圾处置（清运）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：再生资源加工；再生资源回收（除生产性废旧金属）；再生资源销售；水泥制品制造；水泥制品销售；砖瓦制造；砖瓦销售；轻质建筑材料制造；轻质建筑材料销售；新型建筑材料制造（不含危险化学品）；建筑砌块制造；建筑砌块销售；资源再生利用技术研发；新材料技术研发；物业管理；物业服务评估；房地产经纪；专业保洁、清洗、消毒服务；园林绿化工程施工；城市绿化管理；城市公园管理；市政设施管理；工程管理服务；建筑物清洁服务；家政服务；停车场服务；软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；礼仪服务；信息技术咨询服务；花卉绿植租借与代管理；园艺产品种植；建筑材料销售；日用百货销售；机械设备租赁；租赁服务（不含许可类租赁服务）；商业综合体管理服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；食用农产品零售；住房租赁；互联网销售（除销售需要许可的商品）；食品互联网销售（仅销售预包装食品）；家用电器销售；化妆品零售；集贸市场管理服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"3","安徽省长城物业管理有限公司","窦舜","1,000万(元)","1999-03-02","2025-04-15","-","安徽省","合肥市","蜀山区","91340000705048805C","652人","有限责任公司(自然人投资或控股)","房地产业","安徽省合肥市蜀山区黄山路468号通和大厦A座19楼","一般项目：物业管理；园林绿化工程施工；住房租赁；非居住房地产租赁；小微型客车租赁经营服务；停车场服务；专业保洁、清洗、消毒服务；建筑物清洁服务；再生资源回收（除生产性废旧金属）；环境卫生公共设施安装服务；城市绿化管理；农作物病虫害防治服务；家政服务；养老服务；会议及展览服务；餐饮管理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；销售代理；食用农产品零售；日用百货销售；礼品花卉销售；农林牧渔机械配件销售；汽车零配件零售；电子产品销售；物联网技术研发；计算机软硬件及辅助设备零售；计算机系统服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：城市生活垃圾经营性服务；劳务派遣服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"4","华理监理咨询有限公司","余同森","5,188万(元)","1992-10-19","2023-10-12","-","广东省","珠海市","香洲区","913401001491428672","380人","有限责任公司","其他服务业","珠海市横琴新区福临道55号3418办公","许可项目：建设工程监理；水利工程建设监理；公路工程监理；建设工程设计；国土空间规划编制；建设工程勘察；建设工程质量检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；工程技术服务（规划管理、勘察、设计、监理除外）；工业工程设计服务；工程造价咨询业务；招投标代理服务；政府采购代理服务；信息技术咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"5","洁臣环境科技（深圳）有限公司","王辉","3,000万(元)","2008-03-26","2025-03-21","-","广东省","深圳市","盐田区","91440300672996883L","16人","有限责任公司","居民服务业","深圳市盐田区海山街道鹏湾社区海景二路1025号壹海国际中心701-A039","环保、环卫产业投资；道路清扫保洁；城市园林绿化；绿化养护；土石方工程；垃圾填埋场施工、改造、治理、运营；工业垃圾收运与处理；牛皮癣小广告清理；公厕保洁与管理；生活垃圾分类处理；除“四害”服务；物业管理、楼宇清洁服务；苗圃、花卉、苗木种植、销售；环卫设备的销售；农副产品收购；国内贸易；市场管理、车辆租赁等相关业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。^餐厨垃圾经营性收集、运输、处置；危险废物经营；道路运输服务；从事道路客运、货运经营；城市生活垃圾经营性清扫、收集、运输污水处理；再生资源回收、销售。"
"6","安徽普烁光电科技有限公司","祁奇","5,000万(元)","2011-08-01","2023-05-11","2011-08-01 至 2041-07-31","安徽省","合肥市","肥西县","91340100580134071P","24人","有限责任公司(自然人投资或控股)","研究和试验发展","安徽省合肥市高新区柏堰科技园石楠路25号金亚太厂房南侧","LED路灯、太阳能路灯、智慧路灯、物联网路灯、灯杆及照明器材、太阳能光伏组件、电子产品、锂电池、太阳能杀虫灯的研发、生产、销售、安装；电子显示屏、交通器材、道路标识牌、监控设备、电力器材、电线电缆、污水处理设备的销售；城市及道路照明工程、楼宇亮化工程、景观照明工程、光伏电站工程、公路交通工程、机电设备安装、电子与智能化工程、环保工程、污水处理工程、生态修复工程、垃圾分类工程的设计、施工及维护。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"7","合肥工大工程试验检测有限责任公司","程彦","135.29万(元)","2005-08-19","2025-07-21","2005-08-19 至 2056-08-18","安徽省","合肥市","包河区","91340122779065528Q","504人","其他有限责任公司","居民服务业","安徽省合肥市包河区山海关路399号国家级新能源暨智能网联汽车检测中心项目（一期）A3栋生产车间","许可项目：检验检测服务；雷电防护装置检测；建设工程质量检测；水利工程质量检测；室内环境检测；建设工程勘察；测绘服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：公路水运工程试验检测服务；消防技术服务；工程技术服务（规划管理、勘察、设计、监理除外）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；建设工程消防验收现场评定技术服务；工程和技术研究和试验发展；安全咨询服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"8","安徽构美生态景观有限公司","杨海波","4,200万(元)","2011-04-21","2022-07-26","-","安徽省","合肥市","包河区","91340100573047658Q","42人","有限责任公司(自然人投资或控股的法人独资)","公共设施管理业","合肥市包河区宿松路2459号国贸天悦花园C1幢办公楼1902室","园林绿化工程，园林景观设计，园林绿化装饰、园林养护及施工监理，园林病虫害防治，室内花卉装饰、市政公用工程，建筑工程，室内装潢，经济信息咨询，园林机械、苗木、花卉、盆景租赁，草坪、雕塑及工艺品销售，户外护栏、木质廊亭、喷泉假山工程施工，道路、公园绿化养护及清扫保洁、垃圾收集、运输及清扫，园林古建筑工程施工，仿古园林，城市及道路照明亮化工程设计及施工，体育场地设施工程施工，水利水电及机电设计及施工，工程造价技术咨询服务，建筑劳务分包，环保工程施工，河湖整治工程施工，环境治理及生态修复工程施工，物业管理服务，水电安装，防腐防渗漏工程，灯饰亮化工程设计及施工，建材、家电销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"9","合肥红鹰餐饮管理有限公司","万东旭","680万(元)","2013-01-18","2024-12-20","2013-01-18 至 2043-01-15","安徽省","合肥市","肥西县","9134010006084351XA","73人","有限责任公司(自然人独资)","商务服务业","安徽省合肥市肥西县上派镇金寨南路与青年路交口建工大厦二单元502室","许可项目：餐饮服务；食品销售；小食杂（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：餐饮管理；外卖递送服务；食品销售（仅销售预包装食品）；日用百货销售；物业管理；会议及展览服务；农副产品销售；新鲜水果批发；水果种植；蔬菜种植（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"10","安徽汇慧食品配送有限公司","张婉香","9,000万(元)","2015-09-09","2021-06-03","2015-09-09 至 2045-09-08","安徽省","合肥市","合肥市","913401003580016067","28人","有限责任公司(自然人投资或控股)","商务服务业","合肥市新站区淮海大道1188号京商商贸城K-5-1幢办3212","猪肉、牛羊肉、禽肉、禽蛋、冷冻冷藏食品、散装食品、腌制食品、豆制品、调料品、米、面粉、食用油、水产品、蔬菜、水果、干货、茶叶、酒水、日用百货、家用电器、劳保用品、农副产品、预包装食品、酒店用品、针织鞋帽销售及配送（除快递）；农副产品收购及加工；餐饮管理及服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"11","安徽省长江河道工程有限责任公司","刘晓盼","12,000万(元)","2000-06-22","2024-12-11","-","安徽省","芜湖市","湾沚区","9134020071996306X7","131人","其他有限责任公司","土木工程建筑业","芜湖市湾沚区安徽新芜经济开发区芜湖佳海产业新城A区A19、A20幢","水利水电工程、房屋建筑工程、河道清淤工程、地质灾害治理工程、桥梁工程、地基基础工程、机电设备安装工程、室内外装饰装修工程、钢结构工程、园林绿化工程、土石方工程施工；消防设施安装；公路工程建筑；市政道路工程建筑；金属结构制造；建筑幕墙装饰和装修；拆除工程服务；工程监理；工程造价咨询；工程技术咨询服务；工程建设项目招标代理服务；泵站运营、维护；工程检测咨询服务；商品混凝土制造；沥青销售；建筑工程机械与设备租赁；建筑劳务服务（不含劳务派遣和劳务输出）；房地产开发经营；物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"12","合肥保安集团有限公司","应长春","10,000万(元)","2003-08-28","2022-09-28","-","安徽省","合肥市","蜀山区","913401004850662264","36人","有限责任公司(非自然人投资或控股的法人独资)","居民服务业","合肥市长江西路449号","守护、巡逻、押运服务；保护财产和人身安全服务；防盗、防火、报警设备及器材销售；安全技术防范设备的设计、安装、咨询和维修服务；保洁服务；企业信息咨询；停车场管理；驾驶员培训；驾驶人员身体检查、机动车辆安全技术检验服务；标牌、标线安装，拖车服务；金融服务外包（现金清分、清点；自助设备加钞和维护；现金金库托管；票据影印和保管）的相关配套服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"13","上海诺斐信息技术有限公司","李康","200万(元)","2005-05-27","2025-02-20","-","上海市","市辖区","松江区","91310117775778416Y","8人","有限责任公司(自然人投资或控股)","软件和信息技术服务业","上海市松江区乐都路358号505室","计算机及网络系统领域技术开发、技术转让、技术咨询，财务咨询，计算机系统的集成，企业管理咨询服务，商务咨询，企业项目开发、策划、管理，市场营销、策划，展示展览服务，设计，制作，代理，发布各类广告；办公用品，服饰，工艺礼品，计算机软硬件及配件的销售、维修。（上述经营范围涉及行政许可的，凭许可证经营）。"
"14","安徽中天保安服务集团有限公司","张传林","11,000万(元)","2011-08-13","2023-08-01","2011-08-13 至 2041-08-10","安徽省","合肥市","庐阳区","91340100581504812B","250人","其他有限责任公司","商务服务业","安徽省合肥市庐阳区安庆路233号建材大楼","许可项目：保安服务；劳务派遣服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：人力资源服务（不含职业中介活动、劳务派遣服务）；劳务服务（不含劳务派遣）；企业管理；物业管理；酒店管理；餐饮管理；商业综合体管理服务；安全系统监控服务；安全技术防范系统设计施工服务；企业管理咨询；家政服务；居民日常生活服务；日用电器修理；通讯设备修理；专业保洁、清洗、消毒服务；租赁服务（不含许可类租赁服务）；停车场服务；日用百货销售；城乡市容管理；安全咨询服务；公共安全管理咨询服务；消防技术服务；建设工程消防验收现场评定技术服务；消防器材销售；社会稳定风险评估（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"15","武汉天源物业管理有限责任公司","刘迎","5,000万(元)","2003-05-07","2020-11-19","-","湖北省","武汉市","江岸区","91420100748310332Y","0人","有限责任公司(自然人投资或控股)","房地产业","江岸区西马路85号百帝苑3栋2单元1层7室","物业管理；园林绿化设计、施工；机电设备安装、调试及维修；安防系统、日用百货、五金交电的批零兼营；自有房屋租赁；餐饮管理；停车服务；保洁服务；房地产中介服务；房地产经纪服务；会议及展览服务；广告设计、制作、代理、发布；企业管理咨询；商业运营管理。（依法须经审批的项目，经相关部门审批后方可开展经营活动）"
"16","合肥市包河区霁航社会工作服务中心","柏一丹","103万(元)","2017-12-07","-","2024-09-12 至 2028-09-11","安徽省","合肥市","包河区","52340111MJA597393N","-","-","-","安徽省合肥市包河区方兴社区服务中心10楼西边","开展心理危机干预、心理综合服务、专业社会工作服务。发挥本社会组织优势，依法开展志愿服务活动。"
"17","安徽新华传媒股份有限公司","张克文","195,793.1237万(元)","1990-03-29","2024-12-31","-","安徽省","合肥市","包河区","91340000705041507Y","103人","其他股份有限公司(上市)","新闻和出版业","安徽省合肥市包河区万年埠街道云谷路1718号","图书、报纸、期刊、电子出版物总发行； 安徽省内中学小学教科书发行；音像制品批发零售；电视综艺、电视专题、电视剧、电视动画片制作、发行；图书租型造货及咨询服务；出版物及文体、数码产品仓储、物流、配送、连锁管理；计算机信息系统设计、集成及技术服务；教育软件、计算机软硬件开发及销售；电子设备及产品、教学仪器设备销售、仓储；音乐、体育、美术、卫生器材销售、仓储；办公家具、医用家具、金融办公用品销售；传播与文化产业的投资、开发、管理及咨询服务；互联网信息服务；财务咨询；广告业务；进出口业务；资产管理；物业管理；设备及不动产租赁；建筑安装及建筑装饰。（以上依法须经批准的项目经相关部门批准后方可开展经营活动）。"
"18","安徽乐鲜食品集团有限公司","季端海","4,500万(元)","2014-09-12","2025-07-04","-","安徽省","合肥市","肥东县","91340100394044654A","14人","有限责任公司(自然人投资或控股)","批发业","安徽省合肥市肥东县肥东经济开发区合肥徽商大地农副产品批发市场11号大棚2区18号","许可项目：餐饮服务；食品销售；种畜禽经营；食品生产；种畜禽生产；水产养殖；道路货物运输（不含危险货物）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：蔬菜种植；谷物种植；薯类种植；豆类种植；水果种植；食用菌种植；食用农产品批发；食用农产品零售；鲜肉批发；鲜肉零售；新鲜蔬菜批发；新鲜蔬菜零售；鲜蛋批发；鲜蛋零售；新鲜水果批发；新鲜水果零售；水产品批发；水产品零售；农副产品销售；食用农产品初加工；餐饮管理；日用百货销售；家用电器销售；酒店管理；农产品的生产、销售、加工、运输、贮藏及其他相关服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
