"titile","link","type","content","source","province","city","dictrict","data","Proj No.","Proj Name","Purchase","Bidding","Bid Amount"
"福建省廉政教育基地项目家具类采购结果公告（采购包1）","https://fjggzyjy.cn:443/zfcgzbcgjggg/1059819.jhtml","结果公告","一、项目编号：[350001]FJGGZY[TP]2024004 二、项目名称：福建省廉政教育基地项目家具类采购 三、采购结果 采购包1: 供应商名称 供应商地址 中标（成交）金额 评审价格 圣奥科技股份有限公司 浙江省杭州市萧山区萧山经济技术开发区宁东路35号 13,884,583.00元 12,496,265.30元 四、主要标的信息 采购包1(福建省廉政教育基地项目家具类采购): 货物类（圣奥科技股份有限公司） 品目号 品目编号及品目名称 采购标的 品牌 规格型号 数量 单位 单价(元) 金额(元) 1-1 其他家具 家具 圣奥 常规 1 项 13,884,583.0000 13,884,583.00 五、评审专家名单： 采购人代表： 程杨松 评审专家： 丁瑞玉 、 金文婷 、 周志钢 、 周金聪 六、代理服务收费标准及金额： 代理服务费收费标准： 无 代理服务费收费金额： 合同包1福建省廉政教育基地项目家具类采购：0万元 收取对象：无 七、公告期限 自本公告发布之日起1个工作日。 八、其他补充事宜 本项目共有4家供应商在规定的时间内递交了响应文件。 在资格性审查阶段，广州市百利文仪实业有限公司所递交的响应文件中依法缴纳税收凭据材料不符合谈判文件要求，其为代扣代缴的员工工资薪金的个人所得税凭据，并非企业缴纳的税收凭据，经谈判小组一致认定，资格性审查不通过。谈判小组认为其余3家供应商均符合谈判文件要求，均通过资格性审查及符合性审查。 九、凡对本次公告内容提出询问，请按以下方式联系。 1.采购单位信息 名称：福建省机关事务管理局 地址：福州市鼓楼区华林路80号 联系方式：0591-87849469 2.采购机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：88390062 3.项目联系方式 项目联系人：黄勇 电话：88390062 福建省公共资源交易中心 2024年06月08日","政府采购","福建省","0","0","2024/6/8","[350001]FJGGZY[TP]2024004","福建省廉政教育基地项目家具类采购 ","福建省机关事务管理局","0","0"
"福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目公开招标招标公告","https://fjggzyjy.cn:443/zfcgzbcgzbgg/1059818.jhtml","招标公告","项目概况 受福州大学委托，福建省公共资源交易中心对[350001]FJGGZY[GK]2024023、福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目组织公开招标，现欢迎国内合格的供应商前来参加。福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目的潜在投标人应在福建省政府采购网(zfcg.czt.fujian.gov.cn)免费申请账号在福建省政府采购网上公开信息系统按项目获取采购文件，并于2024年06月28日 09时00分00秒（北京时间）前递交投标文件。 一、项目基本情况 项目编号：[350001]FJGGZY[GK]2024023 项目名称：福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目 采购方式：公开招标 预算金额：2,664,600.00元 采购包1(服务器): 采购包预算金额：2,664,600.00元 采购包最高限价： 2,664,600.00元 投标保证金： 0元 采购需求：（包括但不限于标的的名称、数量、简要技术需求或服务要求等） 品目号 品目编码及品目名称 采购标的 数量（单位） 允许进口 简要需求或要求 品目预算(元) 中小企业划分标准所属行业 1-1 A02010104-服务器 服务器1 2(套) 否 1.规格：标准2U机架式服务器； 2.处理器：1*国产海光Hygon 7380(2.2GHz/32核/64MB/208W)CPU 3.内存：128GB(4x32GB)DDR4-3200MHz_ECC-RDIMM 4.硬盘：2块*960G SSD_SATA_6Gpbs_2.5in_Read，6块x2.4TB 6G SAS 10K 2.5in EV 512e HDD UC通用硬盘模块(CTO&BTO) 5.阵列卡：配置1块高性能Raid卡，≥2G缓存，支持Raid 0、1、10、5； 6.网络：配置≥2个万兆端口（含多模光模块），配置≥2个千兆RJ-45接口； 7.加速计算卡： 2块x 80GB显存加速计算卡，80G显存，FP64：9.7TFLOPS，FP32 ：19.5TFLOPS计算能力 8.电源：2 X PowerSupply_2000W_高性能冗余电源模 9.操作系统：预装国产麒麟操作系统。 10、深度学习应用环境及服务器集群管理等。 993,000.00 工业 1-2 A02010104-服务器 服务器2 6(套) 否 1.规格：标准2U机架式服务器； 2.处理器：2颗*国产海光Hygon 7390(2.7GHz/32核/64MB/208W)CPU 3.内存：320GB(10x32GB)DDR4-3200MHz_ECC-RDIMM 4.硬盘：2块SSD_960G_SATA_6Gpbs_2.5in_Read，4块x2.4TB 6G SAS 10K 2.5in EV 512e HDD UC通用硬盘模块(CTO&BTO) 5.阵列卡：配置1块高性能Raid卡，≥2G缓存，支持Raid 0、1、10、5； 6.网络：配置≥2个万兆端口（含多模光模块），配置≥2个千兆RJ-45接口； 7.加速计算卡： 2块x 48GB显存加速计算卡，48G显存，FP32:37.4Tflops计算能力 8.电源：2 X PowerSupply_2000W_高性能冗余电源模 9.操作系统：预装国产麒麟操作系统 10、深度学习应用环境及服务器集群管理等。 1,671,600.00 工业 本采购包不接受联合体投标 合同履行期限：自合同签订之日起30日 二、申请人的资格要求： 1.满足《中华人民共和国政府采购法》第二十二条规定; 2.落实政府采购政策需满足的资格要求： 采购包1：无 3.本项目的特定资格要求： 采购包1：无 三、采购项目需要落实的政府采购政策 进口产品：无 节能产品：适用于合同包1，按照财库[2019]19号文所附品目清单执行。 环境标志产品：适用于合同包1，按照财库[2019]18号文所附品目清单执行。 四、获取招标文件 时间： 2024-06-07 至 2024-06-17 ，（提供期限自本公告发布之日起不得少于5个工作日），每天上午00:00:00至12:00:00，下午12:00:00至23:59:59（北京时间，法定节假日除外） 地点：招标文件随同本项目招标公告一并发布；投标人应先在福建省政府采购网(zfcg.czt.fujian.gov.cn)免费申请账号在福建省政府采购网上公开信息系统按项目下载招标文件(请根据项目所在地，登录对应的(省本级/市级/区县)）福建省政府采购网上公开信息系统操作)，否则投标将被拒绝。 方式：在线获取 售价：免费 五、提交投标文件截止时间、开标时间和地点 2024-06-28 09:00:00（北京时间）（自招标文件开始发出之日起至投标人提交投标文件截止之日止，不得少于20日） 地点：福建省福州市鼓楼区华林路128号屏东写字楼2层5号开标室 六、公告期限 自本公告发布之日起5个工作日。 七、其他补充事宜 无 八、对本次招标提出询问，请按以下方式联系。 1.采购人信息 名称：福州大学 地址：福建省福州市福州地区大学新区学园路2号 联系方式：15605919998 2.采购代理机构信息（如有） 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼17层 联系方式：0591-88390026？ 3.项目联系方式 项目联系人：贺文敬 电话：0591-88390026？ 网址： zfcg.czt.fujian.gov.cn 开户名：福建省公共资源交易中心 福建省公共资源交易中心 2024年06月07日 相关附件： 福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目-文件集.zip","政府采购","福建省","0","0","2024/6/7","[350001]FJGGZY[GK]2024023","福州大学信息类拔尖创新人才培养与学科竞赛平台服务器设备采购项目 ","福州大学","0","0"
"旗山校区五期生活区学生公寓1-3号楼空调结果公告（采购包1）","https://fjggzyjy.cn:443/zfcgzbcgjggg/1059794.jhtml","结果公告","一、项目编号：[350001]FJGGZY[GK]2024013 二、项目名称：旗山校区五期生活区学生公寓1-3号楼空调 三、采购结果 采购包1: 供应商名称 供应商地址 中标（成交）金额 评审价格 福建巨富科技有限公司 福建省福州市仓山区金山街道浦上大道216号福州仓山万达广场C区（原金榕南路西侧与浦上大道北侧交叉处）C4#楼25层15办公 1,237,568.00元 1,237,568.00元 四、主要标的信息 采购包1(旗山校区五期生活区学生公寓1-3号楼空调): 货物类（福建巨富科技有限公司） 品目号 品目编号及品目名称 采购标的 品牌 规格型号 数量 单位 单价(元) 金额(元) 1-1 空调机 旗山校区五期生活区学生公寓1-3号楼空调 飞利浦 FAC35V1Ab1HR 488 台 2,536.0000 1,237,568.00 五、评审专家名单： 采购人代表： 陈艺坤 评审专家： 邱辉煌 、 叶慧生 、 李岩 、 林财栋 六、代理服务收费标准及金额： 代理服务费收费标准： 无 代理服务费收费金额： 合同包1旗山校区五期生活区学生公寓1-3号楼空调：0万元 收取对象：无 七、公告期限 自本公告发布之日起1个工作日。 八、其他补充事宜 本项目共有4家投标人在规定的时间内递交了投标文件。在符合性审查阶段，四川营珊商贸有限公司所提供的投标文件中符合性部分文件出现报价部分的全部或部分的投标报价信息（或组成资料），经评标委员会一致认定，其符合性审查不通过。其余3家投标人均通过资格性及符合性审查。 九、凡对本次公告内容提出询问，请按以下方式联系。 1.采购单位信息 名称：福建师范大学 地址：福建省福州市闽侯县上街镇学府南路8号 联系方式：0591-22841997 2.采购机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼17层 联系方式：0591-88390067 3.项目联系方式 项目联系人：陈女士 电话：0591-88390067 福建省公共资源交易中心 2024年06月05日","政府采购","福建省","福州市","仓山区","2024/6/5","[350001]FJGGZY[GK]2024013","旗山校区五期生活区学生公寓1-3号楼空调 ","福建师范大学","0","0"
"福建省社会主义学院新校区电视机采购采购更正公告（第三次）","https://fjggzyjy.cn:443/zfcgzbcgbcgg/1059795.jhtml","更正公告","一、项目基本情况 原公告的采购项目编号：[350001]FJGGZY[GK]2024018 原公告的采购项目名称：福建省社会主义学院新校区电视机采购 首次公告日期：2024年05月14日 二、更正信息： 更正事项：采购公告 更正原因： 对福建省社会主义学院新校区电视机采购采购更正公告（第二次）中存在的笔误进行修改 更正内容： 序号1 技术参数（更正后）中“20、HDMI2.0或优于：≥ ”更正为“20、HDMI2.0或优于：≥2 ” 其他内容不变 更正日期：2024年06月05日 三、其他补充事项 由于本次变更仅为笔误的澄清，相应的具体内容在第二次变更时已在招标文件上进行了变更，因此，本次变更为非实质性修改招标文件，故第二次变更时确定的获取招标文件时间及第一次变更时确定的开标时间不作变更。 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名称：福建省社会主义学院 地址：福州市鼓楼区湖东路118号 联系方式：0591-87839972 2.采购代理机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：0591-88390026 3.项目联系方式 项目联系人：贺女士 电话：0591-88390026 福建省公共资源交易中心 2024年06月05日","政府采购","福建省","福州市","鼓楼区","2024/6/5","[350001]FJGGZY[GK]2024018","福建省社会主义学院新校区电视机采购","福建省社会主义学院","0","0"
"旗山校区五期生活区学生公寓1-3号楼家具采购更正公告（第一次）","https://fjggzyjy.cn:443/zfcgzbcgbcgg/1059764.jhtml","更正公告","一、项目基本情况 原公告的采购项目编号：[350001]FJGGZY[GK]2024019 原公告的采购项目名称：旗山校区五期生活区学生公寓1-3号楼家具 首次公告日期：2024年05月27日 二、更正信息： 更正事项：采购文件 更正原因： 根据采购人来函 更正内容： 原公告的获取招标文件开始日期：2024-05-27，更正为：2024-06-03。 原公告的获取招标文件结束日期：2024-06-03，更正为：2024-06-10。 因系统字数限制，变更内容详见附件。 其他内容不变 更正日期：2024年06月03日 三、其他补充事项 无 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名称：福建师范大学 地址：福建省福州市仓山区上三路8号 联系方式：0591-22841997 2.采购代理机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼17层 联系方式：0591-88390025 3.项目联系方式 项目联系人：黄先生、林女士 电话：0591-88390025 福建省公共资源交易中心 2024年06月03日 相关附件： 变更内容.zip","政府采购","福建省","福州市","仓山区","2024/6/3","[350001]FJGGZY[GK]2024019","旗山校区五期生活区学生公寓1-3号楼家具","福建师范大学","0","0"
"福建商学院鼓楼及马尾校区物业管理服务项目(二次)采购更正公告（第一次）","https://fjggzyjy.cn:443/zfcgzbcgbcgg/1059763.jhtml","更正公告","一、项目基本情况 原公告的采购项目编号：[350001]FJGGZY[GK]2023066-1 原公告的采购项目名称：福建商学院鼓楼及马尾校区物业管理服务项目(二次) 首次公告日期：2024年05月27日 二、更正信息： 更正事项：采购文件 更正原因： 根据采购人来函 更正内容： 原公告的获取招标文件开始日期：2024-05-27，更正为：2024-06-03。 原公告的获取招标文件结束日期：2024-06-03，更正为：2024-06-10。 招标文件第四章7.2评标标准中技术项“18.保洁主管”和“20.综合主管”中“持有全国高等学校计算机考试证书（一级）""变更为：“持有全国高等学校计算机考试一级（含）以上证书。” 其他内容不变 更正日期：2024年06月03日 三、其他补充事项 无 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名称：福建商学院 地址：福建省福州市连江县西江滨大道2号 联系方式：26298150 2.采购代理机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：0591-87803032？ 3.项目联系方式 项目联系人：林女士 电话：0591-88390025 福建省公共资源交易中心 2024年06月03日","政府采购","福建省","福州市","连江县","2024/6/3","[350001]FJGGZY[GK]2023066-1","福建商学院鼓楼及马尾校区物业管理服务项目(二次)","福建商学院","0","0"
"2024年-2025年云资源租用服务项目公开招标招标公告","https://fjggzyjy.cn:443/zfcgzbcgzbgg/1059747.jhtml","招标公告","项目概况 受福建省公路事业发展中心委托，福建省公共资源交易中心对[350001]FJGGZY[GK]2024017、2024年-2025年云资源租用服务项目组织公开招标，现欢迎国内合格的供应商前来参加。2024年-2025年云资源租用服务项目的潜在投标人应在福建省政府采购网(zfcg.czt.fujian.gov.cn)免费申请账号在福建省政府采购网上公开信息系统按项目获取采购文件，并于2024年06月24日 09时00分00秒（北京时间）前递交投标文件。 一、项目基本情况 项目编号：[350001]FJGGZY[GK]2024017 项目名称：2024年-2025年云资源租用服务项目 采购方式：公开招标 预算金额：1,300,000.00元 采购包1(云资源租用服务): 采购包预算金额：1,300,000.00元 采购包最高限价： 1,300,000.00元 投标保证金： 0元 采购需求：（包括但不限于标的的名称、数量、简要技术需求或服务要求等） 品目号 品目编码及品目名称 采购标的 数量（单位） 允许进口 简要需求或要求 品目预算(元) 中小企业划分标准所属行业 1-1 C16040000-云计算服务 2024年-2025年云资源租用服务项目 1(年) 否 详见招标文件。 1,300,000.00 信息传输业 本采购包不接受联合体投标 合同履行期限：2024年10月1日至2025年9月30日，服务期：1年。 二、申请人的资格要求： 1.满足《中华人民共和国政府采购法》第二十二条规定; 2.落实政府采购政策需满足的资格要求： 采购包1： 本采购包为专门面向中小企业采购，投标人须提供中小企业声明函。监狱企业、残疾人福利性单位视同小型、微型企业。？ 3.本项目的特定资格要求： 采购包1：无 三、采购项目需要落实的政府采购政策 进口产品：否 节能产品：无 环境标志产品：无 四、获取招标文件 时间： 2024-06-03 至 2024-06-11 ，（提供期限自本公告发布之日起不得少于5个工作日），每天上午00:00:00至12:00:00，下午12:00:00至23:59:59（北京时间，法定节假日除外） 地点：招标文件随同本项目招标公告一并发布；投标人应先在福建省政府采购网(zfcg.czt.fujian.gov.cn)免费申请账号在福建省政府采购网上公开信息系统按项目下载招标文件(请根据项目所在地，登录对应的(省本级/市级/区县)）福建省政府采购网上公开信息系统操作)，否则投标将被拒绝。 方式：在线获取 售价：免费 五、提交投标文件截止时间、开标时间和地点 2024-06-24 09:00:00（北京时间）（自招标文件开始发出之日起至投标人提交投标文件截止之日止，不得少于20日） 地点：福建省福州市鼓楼区华林路128号屏东写字楼2层5号开标室 六、公告期限 自本公告发布之日起5个工作日。 七、其他补充事宜 无 八、对本次招标提出询问，请按以下方式联系。 1.采购人信息 名称：福建省公路事业发展中心 地址：福建省福州市台江区交通路19号 联系方式：0591-87078153 2.采购代理机构信息（如有） 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：0591-88390025 3.项目联系方式 项目联系人：林女士 电话：0591-88390025 网址： zfcg.czt.fujian.gov.cn 开户名：福建省公共资源交易中心 福建省公共资源交易中心 2024年06月03日 相关附件： 2024年-2025年云资源租用服务项目-文件集.zip","政府采购","福建省","0","0","2024/6/3","[350001]FJGGZY[GK]2024017","2024年-2025年云资源租用服务项目 ","福建省公路事业发展中心","0","0"
"鲤城院区物业管理服务结果公告（采购包1）","https://fjggzyjy.cn:443/zfcgzbcgjggg/1059689.jhtml","结果公告","一、项目编号：[350001]FJGGZY[GK]2024012 二、项目名称：鲤城院区物业管理服务 三、采购结果 采购包1: 供应商名称 供应商地址 中标（成交）金额 评审总得分 明喆集团股份有限公司 深圳市罗湖区清水河街道清水河社区清水河三路7号中海慧智大厦1栋1A2208 34,493,364.00元 99.44 四、主要标的信息 采购包1(福建医科大学附属第二医院鲤城院区物业管理服务): 服务类（明喆集团股份有限公司） 品目号 品目编号及品目名称 采购标的 服务范围 服务要求 服务时间 单位 服务标准 金额(元) 1-1 物业管理服务 鲤城院区物业管理服务 福建医科大学附属第二医院鲤城院区 具体内容已在我司投标文件（技术商务部分）提供 自合同签订之日起7天内进场服务，直至三年服务期满为止。 年 具体内容已在我司投标文件（技术商务部分）提供 34,493,364.00 五、评审专家名单： 采购人代表： 蔡聪圣 、 黄倩 评审专家： 张霞 、 蔡君君 、 叶毅斌 、 李庚 、 李国榕 六、代理服务收费标准及金额： 代理服务费收费标准： 无 代理服务费收费金额： 合同包1福建医科大学附属第二医院鲤城院区物业管理服务：0万元 收取对象：无 七、公告期限 自本公告发布之日起1个工作日。 八、其他补充事宜 各投标人评审得分及排序如下： 明喆集团股份有限公司 得分99.44分，排名第一； 福建佳禾物业管理有限公司 得分79.18分，排名第二； 汕头市瑞康物业有限公司 得分61.9分，排名第三； 注：根据财政部令第87号规定，未中标供应商评审得分及排序特此以公告方式通知。 九、凡对本次公告内容提出询问，请按以下方式联系。 1.采购单位信息 名称：福建医科大学附属第二医院 地址：福建省泉州市中山北路34号 联系方式：13774857886 2.采购机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：88390062 3.项目联系方式 项目联系人：黄先生 电话：88390062 福建省公共资源交易中心 2024年05月29日","政府采购","福建省","0","0","2024/5/29","[350001]FJGGZY[GK]2024012","鲤城院区物业管理服务 ","福建医科大学附属第二医院","0","0"
"福州大学电信运营商宽带服务结果公告（采购包3）","https://fjggzyjy.cn:443/zfcgzbcgjggg/1059586.jhtml","结果公告","一、项目编号：[350001]FJGGZY[GK]2024010 二、项目名称：福州大学电信运营商宽带服务 三、采购结果 采购包3: 供应商名称 供应商地址 中标（成交）金额 评审价格 中国移动通信集团福建有限公司福州分公司 福建省福州市鼓楼区五一北路96号 659,880.00元 659,880.00元 四、主要标的信息 采购包3(互联网专线服务+5G双域专网服务): 服务类（中国移动通信集团福建有限公司福州分公司） 品目号 品目编号及品目名称 采购标的 服务范围 服务要求 服务时间 单位 服务标准 金额(元) 3-1 网络接入服务 互联网专线服务+5G双域专网服务 提供互联网专线服务+5G双域专网服务 互联网专线服务+5G双域专网服务 1.我司提供2.0Gbps恒定独享带宽的Interne专线宽带接入； 2.我司互联网专线链路提供32个的INTERNET公有IPV4地址； 3.我司与中国教育和科研计算机网（CERNET）有较好的互联带宽，由用户接入端通过该宽带专线到达CERNET骨干网（网间互联端CERNET端节点）的平均时延≤50ms； 4.我司具有较好的网络国际出口带宽，由用户接入端通过该宽带专线到达国际出口对端节点的平均时延≤200ms； 5.在负荷＜70%的情况下，数据报文至网内热点网站的网络丢包率≤1%，至网内热点网站的Ping网络时延≤50ms； 6.单条端到端电路误码率≤10E-7，电路可用率≥99%； 7.保障误码率不高于10E-7、抖动不高于2ms、网络通路可用率可达到99%以上； 8.我司提供5G SPN专线+ UPF本地业务保障分流共享带宽（部署运营商侧）：100Mbps（成员终端IP走内网规划）。 3年 年 互联网专线服务+5G双域专网服务 1.我司提供2.0Gbps恒定独享带宽的Interne专线宽带接入； 2.我司互联网专线链路提供32个的INTERNET公有IPV4地址； 3.我司与中国教育和科研计算机网（CERNET）有较好的互联带宽，由用户接入端通过该宽带专线到达CERNET骨干网（网间互联端CERNET端节点）的平均时延≤50ms； 4.我司具有较好的网络国际出口带宽，由用户接入端通过该宽带专线到达国际出口对端节点的平均时延≤200ms； 5.在负荷＜70%的情况下，数据报文至网内热点网站的网络丢包率≤1%，至网内热点网站的Ping网络时延≤50ms； 6.单条端到端电路误码率≤10E-7，电路可用率≥99%； 7.保障误码率不高于10E-7、抖动不高于2ms、网络通路可用率可达到99%以上； 8.我司提供5G SPN专线+ UPF本地业务保障分流共享带宽（部署运营商侧）：100Mbps（成员终端IP走内网规划）。 659,880.00 五、评审专家名单： 采购人代表： 张僖 评审专家： 江惠 、 金巧球 、 陈伟华 、 俞彩英 六、代理服务收费标准及金额： 代理服务费收费标准： 无 代理服务费收费金额： 合同包3互联网专线服务+5G双域专网服务：0万元 收取对象：无 七、公告期限 自本公告发布之日起1个工作日。 八、其他补充事宜 本项目共有3家投标人在规定的时间内递交了投标文件。 该3家投标人递交的投标文件均符合招标文件规定，通过了资格性及符合性审查。 九、凡对本次公告内容提出询问，请按以下方式联系。 1.采购单位信息 名称：福州大学 地址：福建省福州市福州地区大学新区学园路2号 联系方式：18605087310 2.采购机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼17层 联系方式：88390066 3.项目联系方式 项目联系人：侯女士 电话：88390066 福建省公共资源交易中心 2024年05月28日","政府采购","福建省","福州市","鼓楼区","2024/5/28","[350001]FJGGZY[GK]2024010","福州大学电信运营商宽带服务 ","福州大学","0","0"
"福建省财政厅办公楼物业管理服务项目采购更正公告（第二次）","https://fjggzyjy.cn:443/zfcgzbcgbcgg/1059579.jhtml","更正公告","一、项目基本情况 原公告的采购项目编号：[350001]FJGGZY[GK]2024021 原公告的采购项目名称：福建省财政厅办公楼物业管理服务项目 首次公告日期：2024年05月17日 二、更正信息： 更正事项：采购文件 更正原因： 根据采购人要求。 更正内容： 原公告的获取招标文件开始日期：2024-05-22，更正为：2024-05-27。 原公告的获取招标文件结束日期：2024-05-29，更正为：2024-06-03。 原公告的投标文件提交截止时间：2024-06-07 09:00:00，更正为：2024-06-14 09:00:00。 原公告的开标时间：2024-06-07 09:00:00，更正为：2024-06-14 09:00:00。 1、本项目招标文件第四章7.2评标标准中技术项“3.人员配置方案”的评审因素描述变更为： 投标人结合本项目的实际情况在采购人要求的人员基本配置基础上制定项目服务实施的具体人员配置方案，方案至少应包含：①岗位设置（含应急情况下的各岗位AB角互补设置）方案；②各服务班组人员配置及分工协作情况；③人员服务绩效考核、奖惩方案。方案完整、可行且符合采购需求的得3分；方案较完整、较可行且基本满足采购需求的得2.8分；方案一般能基本满足采购需求的得2.6分；方案不可行，有重大缺陷不能满足采购需求或未提供的本项不得分。（满分3分） 2、本项目招标文件第四章7.2评标标准中技术项“16.工程班长”的评审因素描述变更为： 投标人针对本项目拟派的工程班长，①具有专科（含）以上学历（须提供学历证书复印件）、②持有有效的应急管理部门（或原安全生产监督管理部门）颁发的特种作业操作证（作业类别：电工作业；操作项目：高压电工作业和低压电工作业）（须提供相关证书复印件）、③持有有效的应急管理部门（或原安全生产监督管理部门）颁发的特种作业操作证（作业类别：制冷与空调作业；操作项目：制冷与空调设备运行操作作业）（须提供相关证书复印件），同时满足上述条件的得3分，满足其中2项的得2分，其他或证明材料不齐全的不得分。注：投标人另须提供拟派人员至投标截止时间前6个月（不含投标截止时间当月）任意一个月投标人为其缴纳社保的证明材料复印件、有效身份证复印件（拟派人员身份证信息与招标文件第五章要求提供的身份证不一致的本评分项不得分）；此评分项与其它评分项中提供的人员不得重复，若有重复，该人员在所涉及的评分项均不得分。（满分3分） 3、本项目招标文件第四章7.2评标标准中技术项增加：“22.培训管理方案”，分值“2分”，描述：投标人针对本项目采购需求制定的员工培训管理方案，至少包含：①培训目标、②培训计划、③培训考核评估。方案完整、合理可行、符合项目实际的得2分；方案较完整、较合理可行，基本符合项目实际的得1.8分；方案一般的得1.5分；方案不完整、不合理、不可行及未提供方案的不得分。 4、本项目招标文件第四章7.2评标标准中商务项“1.体系认证1”的评审因素描述变更为： 投标人具有有效的质量管理体系认证(GB/T 19001-2016/ISO9001：2015)证书、环境管理体系认证(GB/T 24001-2016/ISO 14001：2015)证书、职业健康安全管理体系认证(GB/T 45001-2020/ISO 45001：2018)证书、企业诚信管理体系认证（GB/T 31950-2015或GB/T 31950-2023）证书、物业服务认证（GB/T 20647.9-2006《社区服务指南 第9 部分：物业服务》，认证等级：五星级）证书，且认证范围包括“物业管理”或“物业服务”或“物业管理服务”的，每提供一项认证证书得1分，满分3分。须提供有效体系认证证书复印件，评标委员会将通过中国国家认证认可监督管理委员会(http：//www.cnca.gov.cn)或中国合格评定国家认可委员会(https：//www.cnas.org.cn)网站查询所提供证书的有效性。若投标人提供的证书复印件中信息与所查询的信息不一致的，本项不得分。 5、删除本项目招标文件第四章7.2评标标准中商务项“3.项目荣誉1”。 6、本项目招标文件第四章7.2评标标准中商务项“项目业绩” 变更为： 根据投标人提供的自2020年1月1日（含）至本项目投标截止时间止（日期以验收完毕时间为准），已完成的非住宅类物业管理服务政府采购项目（服务内容至少包含保安、保洁、绿化、工程、会务服务五项）业绩情况，每提供1份合格有效的业绩得1分。注：投标人须提供以下证明材料：①该业绩项目的中标公告（提供相关网站中标公告的下载网页截图并注明网址）；②中标通知书复印件；③采购合同或采购合同关键页复印件（关键页体现双方单位名称、合同期限、服务内容、签章页）；④能够证明该业绩项目经采购人验收合格的相关证明文件复印件（如：被服务单位满意度证明文件或者合同期内最后一个月度发票复印件）。所有材料缺一不可，否则不得分。此评分项与“项目荣誉”、“客户评价”评分项中提供的合同为同一业主单位的不重复得分。（满分3分） 其他内容不变 更正日期：2024年05月27日 三、其他补充事项 无 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名称：福建省财政厅机关服务中心 地址：福州市鼓楼区中山路5号 联系方式：0591-87097127 2.采购代理机构信息 名称：福建省公共资源交易中心 地址：福州市鼓楼区华林路128号屏东写字楼 联系方式：0591-88390025 3.项目联系方式 项目联系人：黄先生、林女士 电话：0591-88390025 福建省公共资源交易中心 2024年05月27日","政府采购","福建省","福州市","鼓楼区","2024/5/27","[350001]FJGGZY[GK]2024021","福建省财政厅办公楼物业管理服务项目","福建省财政厅机关服务中心","0","0"
